constructor_results_id,race_id,constructor_id,points,status
1,18,1,14.0,
2,18,2,8.0,
3,18,3,9.0,
4,18,4,5.0,
5,18,5,2.0,
6,18,6,1.0,
7,18,7,0.0,
8,18,8,0.0,
9,18,9,0.0,
10,18,10,0.0,
11,18,11,0.0,
12,19,6,10.0,
13,19,2,11.0,
14,19,1,10.0,
15,19,7,5.0,
16,19,9,2.0,
17,19,4,1.0,
18,19,11,0.0,
19,19,10,0.0,
20,19,3,0.0,
21,19,8,0.0,
22,19,5,0.0,
23,20,6,18.0,
24,20,2,11.0,
25,20,1,4.0,
26,20,7,3.0,
27,20,9,2.0,
28,20,3,1.0,
29,20,4,0.0,
30,20,11,0.0,
31,20,10,0.0,
32,20,5,0.0,
33,20,8,0.0,
34,21,6,18.0,
35,21,1,6.0,
36,21,2,5.0,
37,21,9,4.0,
38,21,11,3.0,
39,21,3,2.0,
40,21,7,1.0,
41,21,10,0.0,
42,21,8,0.0,
43,21,4,0.0,
44,21,5,0.0,
45,22,6,16.0,
46,22,1,8.0,
47,22,2,9.0,
48,22,4,3.0,
49,22,9,2.0,
50,22,3,1.0,
51,22,7,0.0,
52,22,11,0.0,
53,22,10,0.0,
54,22,5,0.0,
55,23,1,11.0,
56,23,2,8.0,
57,23,6,6.0,
58,23,9,5.0,
59,23,5,4.0,
60,23,11,3.0,
61,23,3,2.0,
62,23,4,0.0,
63,23,7,0.0,
64,23,10,0.0,
65,24,2,18.0,
66,24,9,6.0,
67,24,7,8.0,
68,24,6,4.0,
69,24,11,2.0,
70,24,5,1.0,
71,24,1,0.0,
72,24,3,0.0,
73,24,10,0.0,
74,24,4,0.0,
75,25,6,18.0,
76,25,7,6.0,
77,25,1,5.0,
78,25,2,4.0,
79,25,9,3.0,
80,25,4,3.0,
81,25,5,0.0,
82,25,11,0.0,
83,25,3,0.0,
84,25,10,0.0,
85,26,1,14.0,
86,26,2,8.0,
87,26,11,6.0,
88,26,6,5.0,
89,26,4,3.0,
90,26,7,2.0,
91,26,3,1.0,
92,26,9,0.0,
93,26,5,0.0,
94,26,10,0.0,
95,27,1,14.0,
96,27,4,8.0,
97,27,6,9.0,
98,27,2,7.0,
99,27,5,1.0,
100,27,7,0.0,
101,27,3,0.0,
102,27,9,0.0,
103,27,10,0.0,
104,27,11,0.0,
105,28,1,14.0,
106,28,7,10.0,
107,28,6,6.0,
108,28,4,8.0,
109,28,2,1.0,
110,28,9,0.0,
111,28,11,0.0,
112,28,3,0.0,
113,28,10,0.0,
114,28,5,0.0,
115,29,6,10.0,
116,29,1,13.0,
117,29,2,6.0,
118,29,7,6.0,
119,29,5,3.0,
120,29,3,1.0,
121,29,4,0.0,
122,29,9,0.0,
123,29,11,0.0,
124,29,10,0.0,
125,30,6,10.0,
126,30,2,11.0,
127,30,1,6.0,
128,30,4,5.0,
129,30,5,6.0,
130,30,9,1.0,
131,30,7,0.0,
132,30,3,0.0,
133,30,10,0.0,
134,30,11,0.0,
135,31,5,10.0,
136,31,1,10.0,
137,31,2,10.0,
138,31,4,5.0,
139,31,6,3.0,
140,31,9,1.0,
141,31,7,0.0,
142,31,3,0.0,
143,31,11,0.0,
144,31,10,0.0,
145,32,4,10.0,
146,32,3,9.0,
147,32,1,6.0,
148,32,7,5.0,
149,32,5,4.0,
150,32,2,3.0,
151,32,9,2.0,
152,32,11,0.0,
153,32,6,0.0,
154,32,10,0.0,
155,33,4,15.0,
156,33,2,8.0,
157,33,6,8.0,
158,33,7,4.0,
159,33,5,3.0,
160,33,9,1.0,
161,33,3,0.0,
162,33,1,0.0,
163,33,11,0.0,
164,33,10,0.0,
165,34,1,10.0,
166,34,6,14.0,
167,34,4,6.0,
168,34,2,7.0,
169,34,7,2.0,
170,34,5,0.0,
171,34,9,0.0,
172,34,11,0.0,
173,34,3,0.0,
174,34,10,0.0,
175,35,6,16.0,
176,35,4,8.0,
177,35,5,5.0,
178,35,1,6.0,
179,35,7,4.0,
180,35,9,0.0,
181,35,2,0.0,
182,35,3,0.0,
183,35,11,0.0,
184,35,10,0.0,
185,36,6,13.0,
186,36,1,14.0,D
187,36,2,5.0,
188,36,4,4.0,
189,36,3,2.0,
190,36,7,1.0,
191,36,11,0.0,
192,36,8,0.0,
193,36,9,0.0,
194,36,5,0.0,
195,36,12,0.0,
196,37,1,18.0,D
197,37,6,10.0,
198,37,2,5.0,
199,37,4,4.0,
200,37,7,2.0,
201,37,3,0.0,
202,37,9,0.0,
203,37,11,0.0,
204,37,8,0.0,
205,37,5,0.0,
206,37,12,0.0,
207,38,6,16.0,
208,38,1,12.0,D
209,38,2,8.0,
210,38,7,2.0,
211,38,4,1.0,
212,38,3,0.0,
213,38,11,0.0,
214,38,12,0.0,
215,38,8,0.0,
216,38,9,0.0,
217,38,5,0.0,
218,39,6,10.0,
219,39,1,14.0,D
220,39,2,5.0,
221,39,9,4.0,
222,39,3,3.0,
223,39,4,2.0,
224,39,8,1.0,
225,39,11,0.0,
226,39,12,0.0,
227,39,7,0.0,
228,39,5,0.0,
229,40,1,18.0,D
230,40,6,7.0,
231,40,4,5.0,
232,40,2,7.0,
233,40,3,2.0,
234,40,5,0.0,
235,40,11,0.0,
236,40,9,0.0,
237,40,7,0.0,
238,40,8,0.0,
239,40,12,0.0,
240,41,1,12.0,D
241,41,2,8.0,
242,41,3,6.0,
243,41,4,5.0,
244,41,6,4.0,
245,41,8,3.0,
246,41,7,1.0,
247,41,9,0.0,
248,41,11,0.0,
249,41,5,0.0,
250,41,12,0.0,
251,42,1,18.0,D
252,42,6,11.0,
253,42,4,4.0,
254,42,7,3.0,
255,42,9,2.0,
256,42,2,1.0,
257,42,3,0.0,
258,42,8,0.0,
259,42,11,0.0,
260,42,5,0.0,
261,42,12,0.0,
262,43,6,18.0,
263,43,1,8.0,D
264,43,2,9.0,
265,43,4,3.0,
266,43,11,1.0,
267,43,3,0.0,
268,43,7,0.0,
269,43,9,0.0,
270,43,8,0.0,
271,43,12,0.0,
272,43,5,0.0,
273,44,6,14.0,
274,44,1,14.0,D
275,44,2,8.0,
276,44,4,3.0,
277,44,11,0.0,
278,44,9,0.0,
279,44,3,0.0,
280,44,8,0.0,
281,44,12,0.0,
282,44,5,0.0,
283,44,7,0.0,
284,45,1,10.0,D
285,45,6,8.0,
286,45,9,10.0,
287,45,3,5.0,
288,45,2,5.0,
289,45,4,1.0,
290,45,11,0.0,
291,45,8,0.0,
292,45,7,0.0,
293,45,12,0.0,
294,45,5,0.0,
295,46,1,15.0,D
296,46,6,8.0,
297,46,2,10.0,
298,46,7,3.0,
299,46,3,2.0,
300,46,4,1.0,
301,46,9,0.0,
302,46,8,0.0,
303,46,5,0.0,
304,46,12,0.0,
305,46,11,0.0,
306,47,6,18.0,
307,47,1,10.0,D
308,47,2,6.0,
309,47,4,3.0,
310,47,3,2.0,
311,47,9,0.0,
312,47,7,0.0,
313,47,11,0.0,
314,47,8,0.0,
315,47,5,0.0,
316,47,12,0.0,
317,48,1,18.0,D
318,48,6,6.0,
319,48,2,9.0,
320,48,3,3.0,
321,48,4,2.0,
322,48,11,1.0,
323,48,9,0.0,
324,48,7,0.0,
325,48,8,0.0,
326,48,5,0.0,
327,48,12,0.0,
328,49,6,18.0,
329,49,1,11.0,D
330,49,2,4.0,
331,49,3,3.0,
332,49,9,2.0,
333,49,4,1.0,
334,49,7,0.0,
335,49,5,0.0,
336,49,11,0.0,
337,49,12,0.0,
338,49,8,0.0,
339,50,1,10.0,D
340,50,4,12.0,
341,50,6,9.0,
342,50,9,5.0,
343,50,2,2.0,
344,50,12,1.0,
345,50,5,0.0,
346,50,11,0.0,
347,50,7,0.0,
348,50,8,0.0,
349,50,3,0.0,
350,51,6,16.0,
351,51,1,8.0,D
352,51,5,8.0,
353,51,11,4.0,
354,51,2,2.0,
355,51,9,1.0,
356,51,4,0.0,
357,51,3,0.0,
358,51,7,0.0,
359,51,8,0.0,
360,51,12,0.0,
361,52,6,18.0,
362,52,1,8.0,D
363,52,3,5.0,
364,52,2,7.0,
365,52,7,1.0,
366,52,9,0.0,
367,52,8,0.0,
368,52,5,0.0,
369,52,12,0.0,
370,52,11,0.0,
371,52,4,0.0,
372,53,4,10.0,
373,53,6,8.0,
374,53,1,10.0,
375,53,11,5.0,
376,53,3,5.0,
377,53,9,1.0,
378,53,5,0.0,
379,53,2,0.0,
380,53,7,0.0,
381,53,13,0.0,
382,53,8,0.0,
383,54,4,18.0,
384,54,11,6.0,
385,54,1,5.0,
386,54,6,7.0,
387,54,2,2.0,
388,54,7,1.0,
389,54,5,0.0,
390,54,13,0.0,
391,54,8,0.0,
392,54,9,0.0,
393,54,3,0.0,
394,55,4,14.0,
395,55,1,8.0,
396,55,7,6.0,
397,55,2,8.0,
398,55,11,2.0,
399,55,9,1.0,
400,55,5,0.0,
401,55,13,0.0,
402,55,8,0.0,
403,55,6,0.0,
404,55,3,0.0,
405,56,6,15.0,
406,56,4,9.0,
407,56,1,10.0,
408,56,3,3.0,
409,56,11,2.0,
410,56,7,0.0,
411,56,2,0.0,
412,56,5,0.0,
413,56,13,0.0,
414,56,9,0.0,
415,56,8,0.0,
416,57,6,16.0,
417,57,4,11.0,
418,57,1,5.0,
419,57,11,4.0,
420,57,3,2.0,
421,57,2,1.0,
422,57,7,0.0,
423,57,5,0.0,
424,57,13,0.0,
425,57,8,0.0,
426,57,9,0.0,
427,58,4,16.0,
428,58,6,13.0,
429,58,1,4.0,
430,58,11,5.0,
431,58,2,1.0,
432,58,3,0.0,
433,58,7,0.0,
