qualify_id,race_id,driver_id,constructor_id,number,position,q1,q2,q3,q1_ms,q2_ms,q3_ms
1,18,1,1,22,1,1:26.572,1:25.187,1:26.714,86572.0,85187.0,86714.0
2,18,9,2,4,2,1:26.103,1:25.315,1:26.869,86103.0,85315.0,86869.0
3,18,5,1,23,3,1:25.664,1:25.452,1:27.079,85664.0,85452.0,87079.0
4,18,13,6,2,4,1:25.994,1:25.691,1:27.178,85994.0,85691.0,87178.0
5,18,2,2,3,5,1:25.960,1:25.518,1:27.236,85960.0,85518.0,87236.0
6,18,15,7,11,6,1:26.427,1:26.101,1:28.527,86426.0,86101.0,88527.0
7,18,3,3,7,7,1:26.295,1:26.059,1:28.687,86295.0,86059.0,88687.0
8,18,14,9,9,8,1:26.381,1:26.063,1:29.041,86381.0,86063.0,89041.0
9,18,10,7,12,9,1:26.919,1:26.164,1:29.593,86919.0,86164.0,89593.0
10,18,20,5,15,10,1:26.702,1:25.842,,86702.0,85842.0,
11,18,22,11,17,11,1:26.369,1:26.173,,86369.0,86173.0,
12,18,4,4,5,12,1:26.907,1:26.188,,86907.0,86188.0,
13,18,18,11,16,13,1:26.712,1:26.259,,86712.0,86259.0,
14,18,6,3,8,14,1:26.891,1:26.413,,86890.0,86413.0,
15,18,17,9,10,15,1:26.914,,,86914.0,,
16,18,8,6,1,16,1:26.140,,,86140.0,,
17,18,21,10,21,17,1:27.207,,,87207.0,,
18,18,7,5,14,18,1:27.446,,,87446.0,,
19,18,16,10,20,19,1:27.859,,,87859.0,,
20,18,11,8,18,20,1:28.208,,,88208.0,,
21,18,12,4,6,21,1:28.330,,,88330.0,,
22,18,19,8,19,22,1:29.059,,,89059.0,,
23,19,13,6,2,1,1:35.347,1:34.412,1:35.748,95347.0,94412.0,95747.0
24,19,8,6,1,2,1:35.645,1:34.188,1:36.230,95645.0,94188.0,96229.0
25,19,5,1,23,3,1:35.227,1:34.759,1:36.613,95227.0,94759.0,96613.0
26,19,1,1,22,4,1:35.392,1:34.627,1:36.709,95392.0,94627.0,96709.0
27,19,15,7,11,5,1:35.205,1:34.960,1:36.711,95205.0,94960.0,96711.0
28,19,9,2,4,6,1:35.794,1:34.811,1:36.727,95794.0,94811.0,96727.0
29,19,2,2,3,7,1:35.729,1:34.648,1:36.753,95729.0,94648.0,96753.0
30,19,17,9,10,8,1:35.440,1:34.967,1:37.009,95440.0,94967.0,97009.0
31,19,4,4,5,9,1:35.983,1:35.140,1:38.450,95983.0,95140.0,98450.0
32,19,10,7,12,10,1:35.891,1:35.000,1:39.656,95890.0,95000.0,99656.0
33,19,18,11,16,11,1:35.847,1:35.208,,95847.0,95208.0,
34,19,14,9,9,12,1:36.058,1:35.408,,96058.0,95408.0,
35,19,12,4,6,13,1:36.074,1:35.562,,96074.0,95562.0,
36,19,22,11,17,14,1:36.198,1:35.622,,96198.0,95622.0,
37,19,20,5,15,15,1:36.111,1:35.648,,96110.0,95648.0,
38,19,3,3,7,16,1:35.843,1:35.670,,95843.0,95670.0,
39,19,21,10,21,17,1:36.240,,,96240.0,,
40,19,6,3,8,18,1:36.388,,,96388.0,,
41,19,7,5,14,19,1:36.677,,,96676.0,,
42,19,11,8,18,20,1:37.087,,,97087.0,,
43,19,16,10,20,21,1:37.101,,,97101.0,,
44,19,19,8,19,22,1:37.481,,,97481.0,,
45,20,9,2,4,1,1:32.893,1:31.745,1:33.096,92893.0,91745.0,93096.0
46,20,13,6,2,2,1:31.937,1:31.188,1:33.123,91937.0,91188.0,93122.0
47,20,1,1,22,3,1:32.750,1:31.922,1:33.292,92750.0,91922.0,93292.0
48,20,8,6,1,4,1:32.652,1:31.933,1:33.418,92652.0,91933.0,93418.0
49,20,5,1,23,5,1:33.057,1:31.718,1:33.488,93057.0,91718.0,93488.0
50,20,2,2,3,6,1:33.137,1:31.909,1:33.737,93137.0,91908.0,93737.0
51,20,15,7,11,7,1:32.493,1:32.159,1:33.994,92493.0,92158.0,93994.0
52,20,3,3,7,8,1:32.903,1:32.185,1:34.015,92902.0,92185.0,94015.0
53,20,18,11,16,9,1:32.793,1:32.362,1:35.057,92793.0,92362.0,95057.0
54,20,4,4,5,10,1:32.947,1:32.345,1:35.115,92947.0,92345.0,95115.0
55,20,17,9,10,11,1:33.194,1:32.371,,93194.0,92371.0,
56,20,22,11,17,12,1:32.944,1:32.508,,92944.0,92508.0,
57,20,10,7,12,13,1:32.800,1:32.528,,92800.0,92527.0,
58,20,12,4,6,14,1:32.975,1:32.790,,92975.0,92789.0,
59,20,7,5,14,15,1:33.415,1:32.915,,93414.0,92914.0,
60,20,6,3,8,16,1:33.386,1:32.943,,93386.0,92943.0,
61,20,14,9,9,17,1:33.433,,,93433.0,,
62,20,21,10,21,18,1:33.501,,,93501.0,,
63,20,20,5,15,19,1:33.562,,,93562.0,,
64,20,16,10,20,20,1:33.845,,,93845.0,,
65,20,19,8,19,21,1:34.140,,,94140.0,,
66,20,11,8,18,22,1:35.725,,,95725.0,,
67,21,8,6,1,1,1:20.701,1:20.784,1:21.813,80701.0,80783.0,81813.0
68,21,4,4,5,2,1:21.347,1:20.804,1:21.904,81347.0,80804.0,81904.0
69,21,13,6,2,3,1:21.528,1:20.584,1:22.058,81527.0,80584.0,82058.0
70,21,9,2,4,4,1:21.423,1:20.597,1:22.065,81423.0,80597.0,82065.0
71,21,1,1,22,5,1:21.366,1:20.825,1:22.096,81366.0,80825.0,82096.0
72,21,5,1,23,6,1:21.430,1:20.817,1:22.231,81430.0,80817.0,82231.0
73,21,17,9,10,7,1:21.494,1:20.984,1:22.429,81494.0,80984.0,82429.0
74,21,15,7,11,8,1:21.158,1:20.907,1:22.529,81158.0,80907.0,82529.0
75,21,2,2,3,9,1:21.466,1:20.815,1:22.542,81466.0,80815.0,82542.0
76,21,12,4,6,10,1:21.409,1:20.894,1:22.699,81408.0,80894.0,82699.0
77,21,22,11,17,11,1:21.548,1:21.049,,81548.0,81049.0,
78,21,6,3,8,12,1:21.690,1:21.117,,81690.0,81117.0,
79,21,18,11,16,13,1:21.757,1:21.211,,81757.0,81211.0,
80,21,10,7,12,14,1:21.427,1:21.230,,81426.0,81230.0,
81,21,3,3,7,15,1:21.472,1:21.349,,81472.0,81349.0,
82,21,7,5,14,16,1:21.540,1:21.724,,81539.0,81724.0,
83,21,14,9,9,17,1:21.810,,,81810.0,,
84,21,20,5,15,18,1:22.108,,,82108.0,,
85,21,21,10,21,19,1:22.516,,,82515.0,,
86,21,16,10,20,20,1:23.224,,,83224.0,,
87,21,19,8,19,21,1:23.318,,,83318.0,,
88,21,11,8,18,22,1:23.496,,,83496.0,,
89,22,13,6,2,1,1:25.994,1:26.192,1:27.617,85994.0,86192.0,87617.0
90,22,5,1,23,2,1:26.736,1:26.290,1:27.808,86736.0,86289.0,87808.0
91,22,1,1,22,3,1:26.192,1:26.477,1:27.923,86192.0,86477.0,87923.0
92,22,8,6,1,4,1:26.457,1:26.050,1:27.936,86457.0,86050.0,87936.0
93,22,9,2,4,5,1:26.761,1:26.129,1:28.390,86761.0,86129.0,88390.0
94,22,17,9,10,6,1:26.773,1:26.466,1:28.417,86773.0,86466.0,88417.0
95,22,4,4,5,7,1:26.836,1:26.522,1:28.422,86836.0,86521.0,88422.0
96,22,15,7,11,8,1:26.695,1:26.822,1:28.836,86695.0,86822.0,88836.0
97,22,2,2,3,9,1:27.107,1:27.607,1:28.882,87107.0,87607.0,88882.0
98,22,14,9,9,10,1:26.939,1:26.520,1:29.959,86939.0,86520.0,89959.0
99,22,3,3,7,11,1:27.367,1:27.012,,87367.0,87012.0,
100,22,22,11,17,12,1:27.355,1:27.219,,87355.0,87219.0,
101,22,18,11,16,13,1:27.428,1:27.298,,87428.0,87298.0,
102,22,20,5,15,14,1:27.442,1:27.412,,87442.0,87412.0,
103,22,10,7,12,15,1:26.614,1:27.806,,86614.0,87806.0,
104,22,6,3,8,16,1:27.547,,,87547.0,,
105,22,12,4,6,17,1:27.568,,,87568.0,,
106,22,7,5,14,18,1:27.621,,,87621.0,,
107,22,21,10,21,19,1:27.807,,,87807.0,,
108,22,16,10,20,20,1:28.325,,,88325.0,,
109,23,13,6,2,1,1:15.190,1:15.110,1:15.787,75190.0,75110.0,75787.0
110,23,8,6,1,2,1:15.717,1:15.404,1:15.815,75717.0,75404.0,75815.0
111,23,1,1,22,3,1:15.582,1:15.322,1:15.839,75582.0,75322.0,75839.0
112,23,5,1,23,4,1:15.295,1:15.389,1:16.165,75295.0,75389.0,76164.0
113,23,9,2,4,5,1:15.977,1:15.483,1:16.171,75977.0,75483.0,76170.0
114,23,3,3,7,6,1:15.935,1:15.287,1:16.548,75935.0,75287.0,76548.0
115,23,4,4,5,7,1:16.646,1:15.827,1:16.852,76646.0,75827.0,76852.0
116,23,15,7,11,8,1:16.306,1:15.598,1:17.203,76306.0,75598.0,77203.0
117,23,17,9,10,9,1:16.074,1:15.745,1:17.343,76074.0,75745.0,77343.0
118,23,14,9,9,10,1:16.086,1:15.839,,76086.0,75839.0,
119,23,10,7,12,11,1:16.285,1:15.907,,76285.0,75907.0,
120,23,18,11,16,12,1:16.259,1:16.101,,76259.0,76101.0,
121,23,2,2,3,13,1:16.650,1:16.455,,76650.0,76455.0,
122,23,6,3,8,14,1:16.756,1:16.479,,76756.0,76479.0,
123,23,22,11,17,15,1:16.208,1:16.537,,76208.0,76537.0,
124,23,7,5,14,16,1:16.806,,,76806.0,,
125,23,12,4,6,17,1:16.933,,,76933.0,,
126,23,20,5,15,18,1:16.955,,,76955.0,,
127,23,16,10,20,19,1:17.225,,,77225.0,,
128,23,21,10,21,20,1:17.823,,,77823.0,,
129,24,1,1,22,1,1:16.909,1:17.034,1:17.886,76908.0,77033.0,77886.0
130,24,9,2,4,2,1:17.471,1:17.679,1:18.498,77471.0,77679.0,78498.0
131,24,8,6,1,3,1:17.301,1:17.364,1:18.735,77301.0,77364.0,78735.0
132,24,4,4,5,4,1:17.415,1:17.488,1:18.746,77414.0,77488.0,78746.0
133,24,3,3,7,5,1:17.991,1:17.891,1:18.844,77991.0,77890.0,78844.0
134,24,13,6,2,6,1:17.231,1:17.353,1:19.048,77231.0,77353.0,79048.0
135,24,5,1,23,7,1:17.287,1:17.684,1:19.089,77287.0,77684.0,79089.0
136,24,2,2,3,8,1:18.082,1:17.781,1:19.633,78082.0,77781.0,79633.0
137,24,22,11,17,9,1:18.256,1:18.020,1:20.848,78256.0,78020.0,80848.0
138,24,17,9,10,10,1:17.582,1:17.523,,77582.0,77523.0,
139,24,10,7,12,11,1:18.321,1:18.031,,78321.0,78031.0,
