driver_id,full_name,code,nationality,dob,first_season,last_season,seasons_active,races_entered,wins,podiums,dnf_count,points_total,best_season_points,points_per_race,win_rate_pct,podium_rate_pct,dnf_rate_pct,avg_grid,avg_finish,avg_qualifying_ms,avg_pit_stop_s
1,Lewis Hamilton,HAM,British,1985-01-07,2007,2024,18,356,105,202,30,4820.5,413.0,13.541,29.4944,56.7416,8.427,4.3,3.64,86752.2,23.523
20,Sebastian Vettel,VET,German,1987-07-03,2007,2022,16,300,53,122,38,3098.0,397.0,10.327,17.6667,40.6667,12.6667,6.27,5.28,87581.9,23.735
830,Max Verstappen,VER,Dutch,1997-09-30,2015,2024,10,209,63,112,30,2912.5,530.0,13.935,30.1435,53.5885,14.3541,4.96,3.55,85000.7,24.223
4,Fernando Alonso,ALO,Spanish,1981-07-29,2001,2024,21,404,32,106,70,2329.0,278.0,5.765,7.9208,26.2376,17.3267,8.58,6.46,87067.7,23.824
8,Kimi Räikkönen,RAI,Finnish,1979-10-17,2001,2021,19,352,21,103,67,1873.0,251.0,5.321,5.9659,29.2614,19.0341,7.53,6.24,86663.1,24.539
822,Valtteri Bottas,BOT,Finnish,1989-08-28,2013,2024,12,247,10,67,27,1788.0,326.0,7.239,4.0486,27.1255,10.9312,7.86,7.83,86700.6,24.856
3,Nico Rosberg,ROS,German,1985-06-27,2006,2016,11,206,23,57,29,1594.5,385.0,7.74,11.165,27.6699,14.0777,6.9,6.36,88821.6,23.267
815,Sergio Pérez,PER,Mexican,1990-01-26,2011,2024,14,283,6,39,32,1585.0,291.0,5.601,2.1201,13.7809,11.3074,9.44,8.01,87681.1,24.11
844,Charles Leclerc,LEC,Monegasque,1997-10-16,2018,2024,7,149,8,43,23,1363.0,327.0,9.148,5.3691,28.8591,15.4362,6.44,5.48,84052.0,24.346
817,Daniel Ricciardo,RIC,Australian,1989-07-01,2011,2024,14,257,8,32,39,1320.0,256.0,5.136,3.1128,12.4514,15.1751,9.95,8.73,87844.5,24.188
18,Jenson Button,BUT,British,1980-01-19,2000,2017,18,309,15,50,67,1235.0,270.0,3.997,4.8544,16.1812,21.6828,10.01,7.41,88464.0,23.379
832,Carlos Sainz,SAI,Spanish,1994-09-01,2015,2024,10,208,4,27,38,1203.5,262.0,5.786,1.9231,12.9808,18.2692,8.58,7.23,85702.3,24.776
13,Felipe Massa,MAS,Brazilian,1981-04-25,2002,2017,15,271,11,41,42,1167.0,144.0,4.306,4.059,15.1292,15.4982,8.38,7.27,88534.6,23.722
17,Mark Webber,WEB,Australian,1976-08-27,2002,2013,12,217,9,42,57,1047.5,258.0,4.827,4.1475,19.3548,26.2673,8.26,6.6,87112.3,22.574
30,Michael Schumacher,MSC,German,1969-01-03,2000,2012,10,180,56,84,30,996.0,148.0,5.533,31.1111,46.6667,16.6667,5.92,4.35,86551.4,22.542
846,Lando Norris,NOR,British,1999-11-13,2019,2024,6,128,4,26,9,950.0,344.0,7.422,3.125,20.3125,7.0312,7.26,7.05,84144.4,24.892
847,George Russell,RUS,British,1998-02-15,2019,2024,6,128,3,15,17,664.0,262.0,5.188,2.3438,11.7188,13.2812,9.91,9.37,84772.9,24.755
22,Rubens Barrichello,BAR,Brazilian,1972-05-23,2000,2011,12,212,11,62,36,581.0,114.0,2.741,5.1887,29.2453,16.9811,8.23,7.09,86629.2,24.617
807,Nico Hülkenberg,HUL,German,1987-08-19,2010,2024,13,230,0,0,42,563.0,96.0,2.448,0.0,0.0,18.2609,10.49,10.22,88619.8,24.603
839,Esteban Ocon,OCO,French,1996-09-17,2016,2024,8,156,1,4,24,440.0,89.0,2.821,0.641,2.5641,15.3846,11.21,9.96,85811.5,25.057
842,Pierre Gasly,GAS,French,1996-02-07,2017,2024,8,154,1,5,20,426.0,110.0,2.766,0.6494,3.2468,12.987,10.7,10.09,84956.3,24.652
154,Romain Grosjean,GRO,French,1986-04-17,2009,2020,10,181,0,10,47,391.0,132.0,2.16,0.0,5.5249,25.9669,11.71,11.07,89600.5,24.812
857,Oscar Piastri,PIA,Australian,2001-04-06,2023,2024,2,46,2,10,3,347.0,265.0,7.543,4.3478,21.7391,6.5217,7.43,7.12,83945.7,24.391
14,David Coulthard,COU,British,1971-03-27,2000,2008,9,157,7,32,42,314.0,73.0,2.0,4.4586,20.3822,26.7516,9.25,6.72,84817.6,
31,Juan Pablo Montoya,MON,Colombian,1975-09-20,2001,2006,6,95,7,30,33,307.0,82.0,3.232,7.3684,31.5789,34.7368,5.37,4.21,82835.1,
840,Lance Stroll,STR,Canadian,1998-10-29,2017,2024,8,168,0,3,25,286.0,75.0,1.702,0.0,1.7857,14.881,13.15,11.29,85584.6,24.582
9,Robert Kubica,KUB,Polish,1984-12-07,2006,2021,7,99,1,12,14,274.0,136.0,2.768,1.0101,12.1212,14.1414,9.6,9.42,87427.0,24.429
23,Ralf Schumacher,SCH,German,1975-06-30,2000,2007,8,131,6,21,37,267.0,58.0,2.038,4.5802,16.0305,28.2443,7.37,6.47,84176.2,
2,Nick Heidfeld,HEI,German,1977-05-10,2000,2011,12,184,0,13,46,259.0,61.0,1.408,0.0,7.0652,25.0,11.34,8.36,85886.9,22.933
848,Alexander Albon,ALB,Thai,1996-03-23,2019,2024,5,105,0,2,17,238.0,105.0,2.267,0.0,1.9048,16.1905,11.42,10.61,85133.4,25.063
15,Jarno Trulli,TRU,Italian,1974-07-13,2000,2011,12,210,1,10,65,235.5,46.0,1.121,0.4762,4.7619,30.9524,9.84,9.52,87121.9,25.106
