year,total_races,total_drivers,total_constructors,wdc_driver,wdc_points,wcc_team,wcc_points,dominance_hhi,wdc_margin_pts
2000,17,23,11,Michael Schumacher,108.0,Ferrari,170.0,0.3702,19.0
2001,17,26,11,Michael Schumacher,123.0,Ferrari,179.0,0.3426,58.0
2002,17,23,11,Michael Schumacher,144.0,Ferrari,221.0,0.481,67.0
2003,16,24,10,Michael Schumacher,93.0,Ferrari,158.0,0.2031,2.0
2004,18,25,10,Michael Schumacher,148.0,Ferrari,262.0,0.5432,34.0
2005,19,27,10,Fernando Alonso,133.0,Renault,191.0,0.3019,21.0
2006,18,27,12,Fernando Alonso,134.0,Renault,206.0,0.321,13.0
2007,17,26,11,Kimi Räikkönen,110.0,Ferrari,204.0,0.2664,1.0
2008,18,22,11,Lewis Hamilton,98.0,Ferrari,172.0,0.2222,1.0
2009,17,25,10,Jenson Button,95.0,Brawn,172.0,0.2249,11.0
2010,19,27,12,Sebastian Vettel,256.0,Red Bull,498.0,0.2188,4.0
2011,19,28,12,Sebastian Vettel,392.0,Red Bull,650.0,0.3906,122.0
2012,20,25,12,Sebastian Vettel,281.0,Red Bull,460.0,0.165,3.0
2013,19,23,11,Sebastian Vettel,397.0,Red Bull,596.0,0.4958,155.0
2014,19,24,11,Lewis Hamilton,384.0,Mercedes,701.0,0.4294,67.0
2015,19,22,10,Lewis Hamilton,381.0,Mercedes,703.0,0.4017,59.0
2016,21,24,11,Nico Rosberg,385.0,Mercedes,765.0,0.415,5.0
2017,20,25,10,Lewis Hamilton,363.0,Mercedes,668.0,0.3,46.0
2018,21,20,10,Lewis Hamilton,408.0,Mercedes,655.0,0.3515,88.0
2019,21,20,10,Lewis Hamilton,413.0,Mercedes,739.0,0.3424,87.0
2020,17,23,10,Lewis Hamilton,347.0,Mercedes,573.0,0.4533,124.0
2021,22,21,10,Max Verstappen,395.5,Mercedes,613.5,0.3471,8.0
2022,22,22,10,Max Verstappen,454.0,Red Bull,759.0,0.4959,146.0
2023,22,22,10,Max Verstappen,575.0,Red Bull,860.0,0.7562,290.0
2024,24,24,10,Max Verstappen,437.0,McLaren,666.0,0.2118,63.0
