constructor_id,name,nationality,year,races,entries,wins,podiums,poles,dnf_count,drivers_used,points_total,points_per_race,wcc_position,win_rate_pct,podium_rate_pct,reliability_pct
6,Ferrari,Italian,2000,17,34,10,21,10,8,2,170.0,10.0,1,29.41,61.76,76.47
1,McLaren,British,2000,17,34,7,22,7,6,2,162.0,9.53,2,20.59,64.71,82.35
3,Williams,British,2000,17,34,0,3,0,13,2,36.0,2.12,3,0.0,8.82,61.76
22,Benetton,Italian,2000,17,34,0,3,0,10,2,20.0,1.18,4,0.0,8.82,70.59
16,BAR,British,2000,17,34,0,0,0,11,2,20.0,1.18,5,0.0,0.0,67.65
17,Jordan,Irish,2000,17,34,0,2,0,16,2,17.0,1.0,6,0.0,5.88,52.94
21,Arrows,British,2000,17,34,0,0,0,21,2,7.0,0.41,7,0.0,0.0,38.24
15,Sauber,Swiss,2000,17,34,0,0,0,12,2,6.0,0.35,8,0.0,0.0,64.71
19,Jaguar,British,2000,17,34,0,0,0,12,3,4.0,0.24,9,0.0,0.0,64.71
18,Minardi,Italian,2000,17,34,0,0,0,12,2,0.0,0.0,10,0.0,0.0,64.71
20,Prost,French,2000,17,33,0,0,0,22,2,0.0,0.0,11,0.0,0.0,33.33
6,Ferrari,Italian,2001,17,34,9,24,11,5,2,179.0,10.53,1,26.47,70.59,85.29
1,McLaren,British,2001,17,34,4,13,2,11,2,102.0,6.0,2,11.76,38.24,67.65
3,Williams,British,2001,17,34,4,9,4,18,2,80.0,4.71,3,11.76,26.47,47.06
15,Sauber,Swiss,2001,17,34,0,1,0,13,2,21.0,1.24,4,0.0,2.94,61.76
17,Jordan,Irish,2001,17,34,0,0,0,15,4,19.0,1.12,5,0.0,0.0,55.88
16,BAR,British,2001,17,34,0,2,0,12,2,17.0,1.0,6,0.0,5.88,64.71
22,Benetton,Italian,2001,17,34,0,1,0,12,2,10.0,0.59,7,0.0,2.94,64.71
19,Jaguar,British,2001,17,34,0,1,0,18,3,9.0,0.53,8,0.0,2.94,47.06
20,Prost,French,2001,17,34,0,0,0,11,5,4.0,0.24,9,0.0,0.0,67.65
21,Arrows,British,2001,17,34,0,0,0,15,2,1.0,0.06,10,0.0,0.0,55.88
18,Minardi,Italian,2001,17,34,0,0,0,18,3,0.0,0.0,11,0.0,0.0,47.06
6,Ferrari,Italian,2002,17,34,15,27,10,5,2,221.0,13.0,1,44.12,79.41,85.29
3,Williams,British,2002,17,34,1,13,7,6,2,92.0,5.41,2,2.94,38.24,82.35
1,McLaren,British,2002,17,34,1,10,0,14,2,65.0,3.82,3,2.94,29.41,58.82
4,Renault,French,2002,17,34,0,0,0,14,2,23.0,1.35,4,0.0,0.0,58.82
15,Sauber,Swiss,2002,17,34,0,0,0,11,3,11.0,0.65,5,0.0,0.0,67.65
17,Jordan,Irish,2002,17,34,0,0,0,16,2,9.0,0.53,6,0.0,0.0,52.94
19,Jaguar,British,2002,17,34,0,1,0,19,2,8.0,0.47,7,0.0,2.94,44.12
16,BAR,British,2002,17,34,0,0,0,17,2,7.0,0.41,8,0.0,0.0,50.0
18,Minardi,Italian,2002,17,32,0,0,0,17,3,2.0,0.12,9,0.0,0.0,46.88
7,Toyota,Japanese,2002,17,34,0,0,0,15,2,2.0,0.12,10,0.0,0.0,55.88
